CWE,Alert ID,File,Line,EVICT Label,Confidence,Stage,Rationale
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__class_getClass_not_equal_01.java,35,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_equal_m_minus_one_01.java,32,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,15,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__n_less_int_max_01.java,31,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_five_01.java,33,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__private_static_final_five_01.java,33,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_final_five_01.java,31,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe571,DMI_RANDOM_USED_ONLY_ONCE,juliet/testcases/CWE571_Expression_Always_True/CWE571_Expression_Always_True__static_five_01.java,31,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe491,EI_EXPOSE_REP2,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,30,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe491,RI_REDUNDANT_INTERFACES,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_bad.java,15,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe491,EI_EXPOSE_REP2,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_good1.java,30,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
cwe491,RI_REDUNDANT_INTERFACES,juliet/testcases/CWE491_Object_Hijack/CWE491_Object_Hijack__basic_01_good1.java,15,ABSTAIN,1.00,Calibrated,"Error calling gemini: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.1-flash-lite is not found for API version v1, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}"
